source,spectral_type_string,spectral_type_code,2MASS.H,2MASS.J,2MASS.Ks,WISE.W1,WISE.W2
SDSS J083027.24+220345.0,L0,70.0,14.806,15.662,14.458,14.114,13.892
SDSS J083424.12+071916.2,L0,70.0,15.835,16.536,15.432,15.12,14.872
SDSS J083545.33+222430.9,L0,70.0,14.927,15.735,14.447,14.162,13.918
SDSS J083646.35+052642.6,L0,70.0,13.905,14.576,13.287,13.041,12.837
SDSS J083652.36+183544.9,L0,70.0,15.88,16.507,15.176,14.718,14.462
SDSS J083724.78+081603.9,L0,70.0,15.312,16.125,14.758,14.4,14.138
SDSS J083759.75+195727.7,L0,70.0,15.566,16.364,14.933,14.818,14.668
SDSS J083926.25+433936.0,L0,70.0,15.661,16.51,15.279,14.834,14.523
SDSS J084001.62+451752.4,L0,70.0,14.933,15.73,14.296,13.968,13.755
SDSS J084016.42+543002.1,L1,71.0,15.512,16.393,15.347,14.751,14.425
SDSS J084036.04+143424.3,L1,71.0,15.082,16.226,14.615,14.311,14.058
SDSS J084106.85+603506.3,L1.5,71.5,15.034,15.943,14.69,14.127,13.905
SDSS J084106.85+603506.3,L4,74.0,15.034,15.943,14.69,14.127,13.905
SDSS J084307.95+314129.2,L2.5,72.5,15.221,15.992,14.646,13.958,13.668
