source,spectral_type_string,spectral_type_code,2MASS.H,2MASS.J,2MASS.Ks,WISE.W1,WISE.W2
SDSS J121210.98+605947.9,L0,70.0,14.262,14.871,13.705,13.352,13.052
SDSS J121304.77+152922.2,L1,71.0,15.66,16.331,15.424,14.81,14.475
SDSS J121409.75+332356.0,L0,70.0,15.766,16.458,15.45,15.003,14.806
SDSS J121433.61+372111.9,L0,70.0,15.495,16.188,15.07,14.7,14.453
SDSS J121440.95+631643.4,T3.5:,83.5,15.779,16.586,15.877,14.908,13.791
SDSS J121645.58+492744.9,L1,71.0,14.772,15.591,14.105,13.658,13.358
SDSS J121659.17+300306.3,L3.5:,73.5,15.739,17.072,15.813,14.967,14.776
SDSS J121855.72+352022.9,L0,70.0,15.685,16.491,15.192,15.017,14.812
SDSS J121917.86+151612.4,L0,70.0,15.09,15.683,14.712,14.397,14.195
SDSS J121950.20+654136.5,L0,70.0,15.091,15.611,14.565,14.285,14.134
SDSS J122524.00-021559.7,L3,73.0,15.647,16.553,15.035,14.65,14.398
SDSS J122711.07+021349.1,L0,70.0,16.283,16.624,15.57,15.425,15.259
SDSS J122818.54+583342.3,L0,70.0,15.212,15.91,14.894,14.322,14.037
SDSS J122855.38+005044.1,L0,70.0,14.825,15.613,14.162,13.777,13.396
SDSS J123112.97+405027.9,L0,70.0,14.567,15.239,14.095,13.813,13.601
SDSS J123200.85+022344.1,L0,70.0,15.228,15.927,14.691,14.426,14.172
SDSS J123322.63+213805.1,L0,70.0,15.511,16.212,14.985,14.774,14.549
SDSS J123517.23+315815.6,L0,70.0,15.388,16.501,15.27,14.933,14.787
SDSS J123815.59+621925.9,L0,70.0,,,,15.062,14.993
SDSS J124036.81+152517.1,L0,70.0,14.661,15.591,14.498,14.11,13.891
SDSS J124352.25+131021.3,L0,70.0,14.85,15.575,14.447,14.111,13.874
SDSS J124510.86-013230.9,L0,70.0,,,,15.332,14.991
SDSS J124514.95+120442.0,L1,71.0,15.319,16.047,14.733,14.36,14.141
SDSS J124555.66+490210.9,L1,71.0,15.357,15.952,15.201,14.774,14.562
SDSS J124642.80+615054.5,L0,70.0,15.314,16.121,14.794,14.781,14.533
SDSS J124908.66+415728.6,L0,70.0,14.694,15.441,14.292,13.921,13.649
SDSS J124921.22+541340.1,L0,70.0,14.1,14.831,13.653,13.271,13.047
SDSS J125011.65+392553.9,T4,84.0,16.183,16.54,16.057,15.969,14.647
SDSS J125044.68+041758.2,L0,70.0,16.011,16.488,15.466,15.245,15.028
SDSS J125045.66+441853.7,L0,70.0,16.163,16.453,15.11,15.276,15.031
SDSS J125137.76+462025.9,L4.2,74.2,14.746,15.83,14.48,13.475,13.273
SDSS J125214.08+142239.3,L3,73.0,15.159,16.001,14.487,14.186,13.964
SDSS J125230.79+183506.0,L1,71.0,15.234,16.311,14.723,14.126,13.929
SDSS J125253.62+342138.8,L2,72.0,15.26,16.271,14.678,14.316,14.137
SDSS J125331.83+065933.4,L0,70.0,15.265,16.193,15.07,14.651,14.479
SDSS J125437.60+293832.7,L0,70.0,14.596,15.456,14.178,13.765,13.504
SDSS J125459.33+263107.2,L1,71.0,,,,14.864,14.592
SDSS J125550.62+170059.7,L0,70.0,15.353,16.186,15.007,14.619,14.409
SDSS J125645.82+151443.7,L0,70.0,15.393,16.133,14.92,14.67,14.426
SDSS J130148.19+584104.1,L1,71.0,15.452,16.099,14.862,14.454,14.171
SDSS J130234.71+512600.9,L0,70.0,15.024,15.543,14.367,14.155,13.925
SDSS J130250.94+564037.8,L0,70.0,,,,14.72,14.49
SDSS J130317.69+181522.0,L0,70.0,15.373,16.313,15.044,14.64,14.489
SDSS J130433.16+090706.9,L0,70.0,14.569,15.287,13.95,13.681,13.356
SDSS J130831.01+081852.3,L0,70.0,,,,13.473,13.311
SDSS J131002.89+055404.3,L0,70.0,15.396,16.079,14.782,14.617,14.433
SDSS J131113.82+240105.0,L3,73.0,15.688,16.19,14.787,14.567,14.27
SDSS J131221.79+290935.0,L0,70.0,14.776,15.328,14.296,13.996,13.723
SDSS J131223.12+493126.2,L0,70.0,15.427,16.195,14.99,14.761,14.571
SDSS J131448.64+240532.1,L3,73.0,,,,15.101,14.86
SDSS J131543.68+233458.0,L1,71.0,15.041,15.805,14.771,14.324,14.179
SDSS J131545.55+245407.3,L0,70.0,14.765,15.536,14.36,13.99,13.685
SDSS J131614.35+213329.9,L0,70.0,15.53,16.214,14.959,14.555,14.27
SDSS J131839.06+213043.0,L0,70.0,15.5,16.436,15.041,14.637,14.417
SDSS J132511.10+051704.2,L1,71.0,,,,13.561,13.326
SDSS J132715.21+075937.5,L0.5,70.5,13.785,14.599,13.236,12.817,12.559
